Video Block,Time,Salient Variable
Sesame US 1,0:00,face (cow)
Sesame US 1,0:01,face (turkey)
Sesame US 1,0:03,"face (child, man), face (monster) "
Sesame US 1,0:08,"face (child, goat), hands"
Sesame US 1,0:11,"face (child, man), face (monster) "
Sesame US 1,0:19,"hand, bucket, sand"
Sesame US 1,0:20,"face, bucket, hand"
Sesame US 1,0:24,"chicken, people"
Sesame US 1,0:28,"face, hand, monster"
Sesame US 1,0:33,face (sheep)
Sesame US 1,0:36,"face, hand, monster"
Sesame US 1,0:37,"face (sheep), face (monster), hand (monster), feed"
Sesame US 1,0:39,"face (monsters), hand (monster), feed, sheep"
Sesame US 1,0:49,"face, face (monster) "
Sesame US 1,0:52,face (chickens) 
Sesame US 1,0:55,faces (kids)
Sesame US 1,1:00,eggs
Sesame US 2,0:00,"face, face (monster) "
Sesame US 2,0:04,tires
Sesame US 2,0:06,"people (kids), hands"
Sesame US 2,0:09,"face, monster (face)"
Sesame US 2,0:10,"face (child), face (monster) "
Sesame US 2,0:14,"hands, shovel"
Sesame US 2,0:19,"face, shovel"
Sesame US 2,0:23,"face, face (monster) "
Sesame US 2,0:26,shovel
Sesame US 2,0:29,"face, face (monster) "
Sesame US 2,0:31,"face, shovel, hand"
Sesame US 2,0:33,"face, hand, shovel, monster"
Sesame US 2,0:37,shovel
Sesame US 2,0:41,"face, monster (face)"
Sesame US 2,0:43,shovel
Sesame US 2,0:46,"face, monster (face)"
Sesame US 2,0:48,"shovel, plant, hand"
Sesame US 2,0:51,"face, hand, plant"
Sesame US 2,0:53,"shovel, plant, face"
Sesame US 2,0:56,"face, face (monster) "
Slow Animals,0:00,turtle
Slow Animals,0:15,horse
Slow Animals,0:30,birds
Slow Animals,0:47,"ocean, penguin"
Slow Hands,0:00,"hands, thread/needle"
Slow Hands,0:15,"hands, sponge, plate, water"
Slow Hands,0:30,"hands, orange, lemon"
Slow Hands,0:45,"hands, stamps"
Slow Inanimate,0:00,"plane, water"
Slow Inanimate,0:15,truck
Slow Inanimate,0:30,hot air balloon
Slow Inanimate,0:45,train
Slow People,0:00,"faces, hands, bike, dog"
Slow People,0:15,"faces, hands, rocks"
Slow People,0:30,"logs, hands, faces"
Slow People,0:45,"Faces, hands, ball, bat"
Franck Complex,0:00,"face, mountain"
Franck Complex,0:05,"face (baby), hands, ball"
Franck Complex,0:10,"faces, bed, window"
Franck Complex,0:15,"Faces, hands, plates, bouquet"
Franck Complex,0:20,"faces, hands, ice cream"
Franck Complex,0:25,"faces, hands, balls"
Franck Complex,0:30,"Faces, hands, sift"
Franck Complex,0:35,"faces, hands, glass"
Franck Complex,0:40,"faces, hands, feet"
Franck Complex,0:44,"faces, hands, cake, fruit bowl"
Franck Complex,0:46,"face, hands, piano"
Franck Complex,0:50,"faces, hands, teacup"
Franck Complex,0:55,"faces, hands, bowl"
Frank Objects,0:00,windmill with balls
Frank Objects,0:05,Rotating planetarium
Frank Objects,0:14,Windmill with dolphins
Frank Objects,0:20,Marble
Frank Objects,0:25,balls
Frank Objects,0:28,Lava lamp
Frank Objects,0:36,spinning wheel
Frank Objects,0:40,Pinwheel
Frank Objects,0:45,Marbles
Frank Objects,0:54,"balls, bell"
Frank Play,0:00,"face, piano, stool"
Frank Play,0:04,"face, bowls, hands"
Frank Play,0:09,"face, chair, hands"
Frank Play,0:13,"face, hands, fridge, bowl"
Frank Play,0:18,"Face, hands, cups"
Frank Play,0:20,"face, hands, lamp"
Frank Play,0:22,"face, hands, blanket"
Frank Play,0:26,"face, flower"
Frank Play,0:28,"face, hands, tissue"
Frank Play,0:32,"face, hands, building block"
Frank Play,0:34,"face, hands, feet, ball"
Frank Play,0:37,"face, hands, stool, piano"
Frank Play,0:40,"umbrella, face, hands, poncho"
Frank Play,0:45,"face, hands, paper"
Frank Play,0:48,"face, hands, cymbals"
Frank Play,0:55,"face, hands, bubblewand"
Frank Play,0:58,"Face, hand, pinwheel"
Sesame India 1,0:00,"Pen, paper"
Sesame India 1,0:01,"Face (muppet), pen"
Sesame India 1,0:04,"face (muppet), face (child), pen"
Sesame India 1,0:09,face (muppet)
Sesame India 1,0:13,face (child)
Sesame India 1,0:14,"face (child), face (muppet)"
Sesame India 1,0:18,Face (child)
Sesame India 1,0:24,"face (person), face (muppet)"
Sesame India 1,0:28,"faces, hands, ball"
Sesame India 1,0:33,"faces, hands, chalk"
Sesame India 1,0:34,"hands, eraser, board"
Sesame India 1,0:36,"hands, chalk, board"
Sesame India 1,0:38,"Faces (children), face (muppet), hands"
Sesame India 1,0:40,"hands, chalk, board"
Sesame India 1,0:42,"faces (children), face (muppet), hands"
Sesame India 1,0:44,"hands, chalk, board"
Sesame India 1,0:46,"faces (children), face (muppet), hands"
Sesame India 1,0:49,faces (children)
Sesame India 1,0:51,face (child)
