coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,28000,32000,"192","1320","862","no",0,0,0,"","",
1,48560,55000,"212","1045","194","yes",1,0,4000,"168","piano",
2,54680,58160,"217","795","412","yes",2,0,4000,"167","child face",
3,58240,60920,"220","533","411","yes",3,0,4000,"169","stool",
,,,,,,,4,4000,9000,"172","hands",
,,,,,,,5,4000,9000,"170","child face",
,,,,,,,6,4000,9000,"171","bowls",
,,,,,,,7,9000,14160,"175","hands",
,,,,,,,8,9000,14160,"174","chair",
,,,,,,,9,9000,14160,"173","child face",
,,,,,,,10,13000,17840,"179","bowl",
,,,,,,,11,13000,18000,"178","fridge",
,,,,,,,12,14200,17840,"176","child face",
,,,,,,,13,14200,17840,"177","hands",
,,,,,,,14,17880,20240,"182","cups",
,,,,,,,15,17880,20240,"181","hands",
,,,,,,,16,17880,20240,"180","child face",
,,,,,,,17,20360,22360,"184","hands",
,,,,,,,18,20360,22360,"183","child face",
,,,,,,,19,20360,22360,"185","lamp",
,,,,,,,20,22000,26000,"188","blanket",
,,,,,,,21,22440,25920,"186","child face",
,,,,,,,22,22440,25920,"187","hands",
,,,,,,,23,25960,28000,"190","flower",
,,,,,,,24,25960,28399,"189","child face",
,,,,,,,25,28000,31480,"192","hands",
,,,,,,,26,28000,31480,"193","tissue",
,,,,,,,27,28400,31480,"191","child face",
,,,,,,,28,31480,34040,"195","hands",
,,,,,,,29,31480,34040,"196","building block",
,,,,,,,30,31480,34040,"194","child face",
,,,,,,,31,34000,36680,"197","child face",
,,,,,,,32,34000,36680,"200","ball",
,,,,,,,33,34000,36680,"198","hands",
,,,,,,,34,34000,36680,"199","feet",
,,,,,,,35,36720,40000,"201","child face",
,,,,,,,36,36720,40000,"204","piano",
,,,,,,,37,36720,40000,"203","stool",
,,,,,,,38,36720,40000,"202","hands",
,,,,,,,39,40000,44680,"206","child face",
,,,,,,,40,40000,44680,"207","hands",
,,,,,,,41,40000,45000,"208","poncho",
,,,,,,,42,40000,45000,"205","umbrella",
,,,,,,,43,44720,48520,"211","paper",
,,,,,,,44,44720,48520,"210","hands",
,,,,,,,45,44720,48520,"209","child face",
,,,,,,,46,48000,55000,"214","cymbals",
,,,,,,,47,48560,54640,"212","child face",
,,,,,,,48,48560,54640,"213","hands",
,,,,,,,49,54680,58160,"217","bubblewand",
,,,,,,,50,54680,58160,"216","hands",
,,,,,,,51,54680,58160,"215","child face",
,,,,,,,52,58240,60920,"218","child face",
,,,,,,,53,58240,60920,"220","pinwheel",
,,,,,,,54,58240,60920,"219","hand",
