coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,3024,0,"298","896","648","yes",0,630,2940,"296","small bird face",
1,3024,0,"298","1,814","318","yes",1,630,3780,"297","small bird feet",
2,3108,0,"302","1,768","497","yes",2,3024,26838,"298","small birds faces",
3,4158,0,"300","870","615","yes",3,3108,10000,"302","small bird wings",
4,6888,0,"304","731","737","yes",4,3906,7000,"299","small birds feet",
5,6888,0,"304","472","731","yes",5,4158,7000,"300","tail",
6,10080,0,"298","470","615","yes",6,6888,8736,"304","small bird wings",
7,14910,0,"298","1,834","511","yes",7,26000,29000,"307","big bird wing",
8,16044,0,"298","1,840","170","yes",8,26880,26838,"305","wire",
9,18438,0,"298","76","698","yes",9,26880,28602,"306","big bird face",
10,20244,0,"298","1,830","788","yes",10,28644,26000,"303","small birds faces",
11,21336,0,"298","122","696","yes",11,28644,30912,"301","small birds faces",
12,22176,0,"298","67","732","yes",12,30954,33306,"309","big bird face",
13,22176,0,"298","1,859","771","yes",13,30954,33306,"310","big bird wing",
14,23478,0,"298","64","760","yes",14,33348,37002,"308","small birds faces",
15,26880,0,"305","718","977","yes",15,37044,43680,"311","small birds faces",
16,26880,0,"305","1,262","938","yes",16,43722,45780,"312","big bird face",
17,29820,0,"301","900","558","yes",17,48636,50274,"315","wire",
18,29820,0,"301","672","559","yes",18,48636,50274,"314","big bird",
19,29820,0,"301","1,092","539","yes",19,48636,50274,"313","small birds",
20,30954,0,"309","813","363","yes",20,48636,50274,"316","field",
21,30954,0,"310","1,192","834","yes",21,50316,54264,"317","small birds faces",
22,33348,0,"308","407","621","yes",22,54306,58000,"319","big bird wings",
23,33348,0,"308","1,305","568","yes",23,54306,58000,"318","big bird face",
24,43722,0,"312","834","310","yes",24,54306,58000,"320","wire",
25,48636,0,"313","955","470","yes",25,55566,68000,"324","big bird wings",
26,48636,0,"313","898","460","yes",26,58296,62958,"321","small birds faces",
27,48636,0,"313","848","463","yes",27,60000,64764,"325","big bird face",
28,48636,0,"313","799","461","yes",28,60000,68000,"322","small birds faces",
29,48636,0,"313","752","457","yes",29,60732,62874,"323","big bird feet",
30,48636,0,"313","727","462","yes",30,61110,71000,"327","big bird face",
31,48636,0,"313","679","458","yes",31,65814,70812,"326","small birds faces",
32,48636,0,"313","650","457","yes",32,68000,71000,"328","big bird feet",
33,48636,0,"313","618","463","yes",33,70854,72240,"329","big bird face",
34,48636,0,"313","586","456","yes",34,72282,73584,"330","small birds faces",
35,48636,0,"313","561","455","yes",35,73584,77574,"332","big bird face",
36,48636,0,"313","528","462","yes",36,73584,85218,"331","small birds faces",
37,48636,0,"313","509","462","yes",37,79000,80094,"334","big bird wings",
38,48636,0,"313","480","459","yes",38,79212,80094,"333","big bird face",
39,48636,0,"313","461","459","yes",39,79212,85218,"338","wire",
40,48636,0,"314","229","376","yes",40,79296,80304,"335","big bird feet",
41,54306,0,"320","712","988","yes",41,80346,86352,"337","big bird feet",
42,60732,0,"323","970","177","yes",42,86394,89208,"336","small birds faces",
43,60732,0,"323","917","86","yes",43,89250,91560,"340","big bird feet",
44,60900,0,"324","760","74","yes",44,89250,95172,"339","small birds faces",
45,60900,0,"324","1,126","75","yes",45,89250,97314,"341","small birds faces",
46,61110,0,"325","939","65","yes",46,95214,103404,"342","big bird feet",
47,70854,0,"329","873","453","yes",47,95844,102270,"343","big bird face",
48,72282,0,"330","742","467","yes",48,102312,107000,"345","small birds faces",
49,72282,0,"330","972","319","yes",49,105420,106218,"344","big bird face",
50,72282,0,"330","1,290","231","yes",50,106260,108000,"347","big bird",
51,73584,0,"332","1,014","325","yes",51,106260,108000,"349","field",
52,73584,0,"331","534","693","yes",52,106260,108000,"348","wire",
53,73584,0,"331","1,457","649","yes",53,106260,108000,"346","small birds",
54,79212,0,"333","849","609","yes",54,108108,114240,"350","small birds faces",
55,79212,0,"338","1,634","498","yes",55,108738,109242,"351","big bird feet",
56,79212,0,"338","350","581","yes",56,114282,119112,"352","small birds faces",
57,79212,0,"335","923","923","yes",57,119070,121380,"353","feathers",
58,79212,0,"335","955","928","yes",58,121422,126168,"356","big bird feet",
59,80333,0,"333","408","597","no",59,121422,126168,"354","big bird face",
60,80333,0,"333","1,665","487","no",60,121422,126168,"355","big bird body",
61,81060,0,"337","1,368","630","no",61,126210,132216,"358","feathers",
62,81060,0,"337","1,583","539","no",62,126210,132216,"357","big bird face",
63,83538,0,"337","1,767","381","no",63,131250,131334,"359","small bird",
64,84336,0,"337","584","640","no",64,132258,139986,"360","small bird face",
65,85260,0,"336","624","229","yes",65,133728,136584,"361","big bird face",
66,85260,0,"336","1,466","205","yes",66,134000,139986,"363","leaf",
67,89250,0,"339","924","732","yes",67,135240,136584,"362","big bird wing",
68,89250,0,"340","864","1,039","yes",68,137214,139986,"366","big bird wing",
69,89250,0,"340","975","1,042","yes",69,140028,147966,"365","big bird face",
70,89250,0,"340","301","737","no",70,140028,149000,"364","small birds faces",
71,89250,0,"340","782","945","no",71,140028,150024,"368","big bird wing",
72,89250,0,"340","1,335","818","no",72,148008,150150,"367","big bird face",
73,89250,0,"340","1,436","763","no",,,,,,
74,89250,0,"340","1,537","717","no",,,,,,
75,89250,0,"341","70","331","yes",,,,,,
76,89250,0,"341","200","430","yes",,,,,,
77,89250,0,"341","423","517","yes",,,,,,
78,89250,0,"341","590","626","yes",,,,,,
79,89250,0,"341","825","704","yes",,,,,,
80,89250,0,"341","997","690","yes",,,,,,
81,89250,0,"341","1,229","600","yes",,,,,,
82,89250,0,"341","1,385","506","yes",,,,,,
83,89250,0,"341","1,593","389","yes",,,,,,
84,89250,0,"341","1,765","327","yes",,,,,,
85,95214,0,"342","919","375","yes",,,,,,
86,95214,0,"342","966","363","yes",,,,,,
87,95844,0,"343","883","1,071","yes",,,,,,
88,102312,0,"345","808","435","yes",,,,,,
89,102312,0,"345","1,139","381","yes",,,,,,
90,102312,0,"345","1,686","195","yes",,,,,,
91,102312,0,"345","130","202","yes",,,,,,
92,105420,0,"344","1,022","955","yes",,,,,,
93,106260,0,"347","971","863","yes",,,,,,
94,106260,0,"348","1,177","580","yes",,,,,,
95,106260,0,"348","751","604","yes",,,,,,
96,106260,0,"349","652","1,046","yes",,,,,,
97,108738,0,"351","901","900","yes",,,,,,
98,108738,0,"351","1,317","688","no",,,,,,
99,108738,0,"351","1,736","482","no",,,,,,
100,121422,0,"354","869","914","yes",,,,,,
101,121422,0,"355","935","746","yes",,,,,,
102,121422,0,"356","903","302","yes",,,,,,
103,126210,0,"358","1,034","355","no",,,,,,
104,126210,0,"358","1,233","1,027","no",,,,,,
105,126210,0,"357","1,024","482","yes",,,,,,
106,126798,0,"358","1,539","131","yes",,,,,,
107,126798,0,"358","537","350","yes",,,,,,
108,126798,0,"358","378","200","yes",,,,,,
109,126798,0,"358","1,268","72","yes",,,,,,
110,128646,0,"358","439","100","yes",,,,,,
111,131250,0,"359","357","150","yes",,,,,,
112,132258,0,"360","619","873","yes",,,,,,
113,133728,0,"361","1,804","464","yes",,,,,,
114,134022,0,"361","642","564","no",,,,,,
115,140028,0,"364","575","882","yes",,,,,,
116,140028,0,"365","852","710","yes",,,,,,
117,140028,0,"365","576","884","no",,,,,,
118,140028,0,"368","951","853","yes",,,,,,
119,140154,0,"364","1,390","75","yes",,,,,,
120,140238,0,"364","1,602","216","yes",,,,,,
121,140238,0,"368","862","795","yes",,,,,,
122,140322,0,"364","778","136","yes",,,,,,
123,140364,0,"364","128","214","yes",,,,,,
124,140490,0,"364","245","214","yes",,,,,,
125,140490,0,"364","1,241","91","yes",,,,,,
126,140490,0,"364","1,694","111","yes",,,,,,
127,140490,0,"364","1,837","243","yes",,,,,,
128,140532,0,"364","352","86","yes",,,,,,
129,140658,0,"364","751","134","yes",,,,,,
130,140700,0,"364","1,555","77","yes",,,,,,
131,140784,0,"364","926","203","yes",,,,,,
132,140826,0,"364","1,424","169","yes",,,,,,
133,140910,0,"364","111","183","yes",,,,,,
