coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,840,0,"223","1300","379","yes",0,0,1000,"221","Pen",
1,840,0,"223","1189","713","yes",1,0,8397,"222","paper",
2,14000,0,"230","572","354","yes",2,840,8320,"223","muppet face",
3,19240,0,"232","808","390","yes",3,1000,8333,"224","pen",
4,23840,0,"233","1635","336","yes",4,4080,8320,"226","child face",
5,23840,0,"233","1633","333","yes",5,8333,12107,"227","pen",
6,27840,0,"235","1652","469","yes",6,8360,12640,"228","muppet face",
7,28800,0,"236","444","566","yes",7,12680,13720,"229","child face",
8,28880,0,"236","1024","376","yes",8,13760,19160,"230","child face",
9,28880,0,"236","1454","459","yes",9,13760,19160,"231","muppet face",
10,28880,0,"236","1563","468","yes",10,19200,23800,"232","child face",
11,30920,0,"235","1606","755","yes",11,23840,27560,"233","person face",
12,30920,0,"235","1784","215","no",12,23840,27800,"234","muppet face",
13,30920,0,"235","660","203","yes",13,27600,32680,"237","ball",
14,31040,0,"235","1793","1053","no",14,27840,32600,"235","faces",
15,31040,0,"235","1686","1020","no",15,27840,32600,"236","hands",
16,31600,0,"236","1230","664","yes",16,32640,33880,"239","hands",
17,31680,0,"236","1193","682","no",17,32640,34000,"240","chalk",
18,31680,0,"236","1231","688","no",18,32640,35080,"238","faces",
19,31800,0,"236","877","631","yes",19,32640,37280,"243","board",
20,33607,0,"239","163","607","yes",20,32640,37280,"242","eraser",
21,33607,0,"239","566","586","yes",21,33760,35080,"241","hands",
22,34000,0,"238","1112","676","yes",22,35120,37200,"244","hands",
23,37240,2400000,"267C","1612","403","yes",23,36000,38000,"245","chalk",
24,37240,2400000,"267C","387","607","yes",24,37240,40000,"267C","children faces",
25,37240,2400000,"267C","668","480","yes",25,37240,40000,"247","children faces",
26,41800,43800,"267D","387","607","yes",26,37240,40000,"249","hands",
27,41800,43800,"267D","668","480","yes",27,37240,40000,"248","muppet face",
28,41800,43800,"267D","1612","403","yes",28,37280,38000,"246","board",
29,45400,49000,"267E","387","607","yes",29,40000,42000,"251","chalk",
30,45400,49000,"267E","668","480","yes",30,40000,42000,"252","board",
31,45400,49000,"267E","1612","403","yes",31,40040,41760,"250","hands",
32,50840,0,"263","1042","379","yes",32,41800,43800,"267D","children faces",
33,52440,54360,"269","356","568","yes",33,41800,43800,"255","hands",
34,52440,54360,"269","415","563","yes",34,41800,43800,"254","muppet face",
35,52440,54360,"264","903","332","yes",35,42000,44000,"253","children faces",
36,52440,54360,"264","1126","365","yes",36,43840,45360,"256","hands",
37,52440,54360,"264","1378","363","yes",37,44000,46000,"257","chalk",
38,54400,55800,"264","460","231","yes",38,44000,46000,"258","board",
39,54400,55800,"264","961","277","yes",39,45400,49000,"267E","children faces",
40,54400,55800,"264","1419","225","yes",40,45400,49000,"260","muppet face",
41,55882,0,"267","551","377","yes",41,45400,49000,"261","hands",
,,,,,,,42,46000,45603,"259","children faces",
,,,,,,,43,49040,50800,"262","children faces",
,,,,,,,44,50840,52400,"263","child face",
,,,,,,,45,52000,56000,"265","feet",
,,,,,,,46,52440,54360,"264","children faces",
,,,,,,,47,52440,54360,"267A","people faces",
,,,,,,,48,52440,56000,"266","hands",
,,,,,,,49,54360,55800,"267B","children faces",
,,,,,,,50,55840,60000,"268","muppet face",
,,,,,,,51,55840,60000,"267","child face",
