coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,0,4000,"40","1222","521","yes",0,0,4000,"40","muppet face",
1,8874,10000,"45","1229","630","yes",1,0,4000,"39","adult face",
2,10000,13430,"47","1210","310","yes",2,0,45491,"","",
3,15572,16218,"48a","850","313","yes",3,3536,6000,"41","tires",
4,16252,19142,"50b","514","388","yes",4,6000,8840,"42","children",
5,16252,19142,"50a","1121","290","yes",5,6000,8840,"43","hands",
6,22508,25840,"52","609","454","yes",6,8874,10000,"45","muppet face",
7,22508,25840,"53","1135","361","yes",7,8874,10132,"44","adult face",
8,28560,30634,"56","1452","408","yes",8,10000,13430,"46","child face",
9,40766,42704,"66","1303","603","yes",9,10000,13430,"47","muppet face",
10,45662,47940,"69a","1224","492","yes",10,13498,15980,"49","shovel",
11,56032,60827,"80","1247","252","yes",11,13498,16218,"48","hands",
,,,,,,,12,15980,16218,"48a","child face",
,,,,,,,13,16252,19142,"50b","child face",
,,,,,,,14,16252,19142,"50a","muppet face",
,,,,,,,15,19142,22474,"50","child and adult faces",
,,,,,,,16,19142,30770,"51","shovels",
,,,,,,,17,22508,25840,"52","child face",
,,,,,,,18,22508,25840,"53","muppet face",
,,,,,,,19,25840,29000,"54","shovel",
,,,,,,,20,28560,30634,"55","child and adult faces",
,,,,,,,21,28560,30634,"56","muppet face",
,,,,,,,22,30634,33218,"59","hands",
,,,,,,,23,30634,33218,"58","shovels",
,,,,,,,24,30634,33218,"57","children faces",
,,,,,,,25,33252,37570,"61","hand",
,,,,,,,26,33252,37570,"62","shovel",
,,,,,,,27,33252,37570,"60","adult face",
,,,,,,,28,33252,37570,"63","muppet face",
,,,,,,,29,37000,40732,"64","shovel",
,,,,,,,30,40766,42704,"65","adult face",
,,,,,,,31,40766,42704,"66","muppet face",
,,,,,,,32,42670,45492,"67","shovel",
,,,,,,,33,45662,47940,"69","muppet face",
,,,,,,,34,45662,47940,"68","child face",
,,,,,,,35,47838,51000,"72","hand",
,,,,,,,36,47838,51000,"71","plant",
,,,,,,,37,47838,51000,"70","shovel",
,,,,,,,38,50762,53000,"73","child face",
,,,,,,,39,50762,53000,"75","plant",
,,,,,,,40,50762,53000,"74","hand",
,,,,,,,41,53000,55998,"78","child face",
,,,,,,,42,53000,56000,"77","plant",
,,,,,,,43,53000,56000,"76","shovel",
,,,,,,,44,56000,60827,"79","child face",
,,,,,,,45,56032,60827,"80","muppet face",
