coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,0,0,"102","662","521","yes",0,0,15000,"104","bike",
1,0,0,"102","1415","597","yes",1,0,15000,"102","faces",
2,0,0,"103","548","791","yes",2,0,15000,"103","hands",
3,0,0,"103","1336","650","yes",3,0,15000,"105","dog",
4,0,0,"103","1395","662","yes",4,15000,30000,"107","hands",
5,238,0,"102","1051","591","yes",5,15000,30000,"108","rocks",
6,408,0,"103","880","806","yes",6,15164,30000,"106","faces",
7,510,0,"103","994","749","yes",7,30000,45000,"109","logs",
8,3060,0,"102","1402","621","yes",8,30000,46172,"110","hands",
9,3298,0,"103","1342","679","yes",9,30000,46172,"111","faces",
10,4488,0,"103","1410","574","yes",10,45000,60761,"115","bat",
11,4590,0,"102","1404","590","yes",11,45000,60761,"113","hands",
12,5651,0,"103","1053","579","yes",12,45000,60761,"114","ball",
13,7650,0,"103","1224","638","yes",13,46478,60761,"112","Faces",
14,7684,0,"102","1275","598","yes",,,,,,
15,10064,0,"103","1045","639","yes",,,,,,
16,10064,0,"103","1170","633","yes",,,,,,
17,10608,0,"103","837","626","yes",,,,,,
18,10608,0,"103","933","632","yes",,,,,,
19,11856,0,"103","1035","657","yes",,,,,,
20,14144,0,"103","1399","651","yes",,,,,,
21,14382,0,"102","1419","589","yes",,,,,,
22,25874,0,"107","737","872","no",,,,,,
23,25874,0,"107","759","806","yes",,,,,,
24,30056,0,"110","1158","741","yes",,,,,,
25,31246,0,"110","1905","642","yes",,,,,,
26,46376,0,"112","79","112","yes",,,,,,
27,46376,0,"113","75","270","yes",,,,,,
28,46478,0,"112","1308","63","yes",,,,,,
29,46716,0,"112","1233","68","yes",,,,,,
30,46750,0,"113","406","343","yes",,,,,,
31,46750,0,"113","431","351","yes",,,,,,
32,46988,0,"113","1222","135","yes",,,,,,
33,47226,0,"113","1251","160","yes",,,,,,
34,48654,0,"112","376","115","yes",,,,,,
35,49504,0,"113","1181","200","no",,,,,,
