system_time_stamp,time,left_x,left_y,left_valid,left_pupil,left_pupil_valid,right_x,right_y,right_valid,right_pupil,right_pupil_valid,gaze_x,gaze_y,pupil_size,events
438016758022,-725.0,1004.5387,430.319,1,3.1941,1,868.5435,322.0388,1,3.1119,1,936.5411,376.1789,3.153,
438016762022,-721.0,1000.0974,436.1986,1,3.1767,1,894.49,333.0018,1,3.0967,1,947.2937,384.6002,3.1367,
438016766022,-717.0,1012.783,448.9398,1,3.1752,1,890.3362,338.1088,1,3.071,1,951.5596,393.5243,3.1231,
438016770021,-713.0,1009.7225,445.258,1,3.1935,1,898.7452,329.4013,1,3.1125,1,954.2338,387.3296,3.153,
438016774019,-709.0,1011.519,435.6311,1,3.1846,1,899.5176,317.1893,1,3.1213,1,955.5183,376.4102,3.1529,
438016778018,-705.0,1006.8565,439.2076,1,3.1687,1,883.4454,327.1423,1,3.0425,1,945.1509,383.175,3.1056,
438016782016,-701.0,987.3154,447.1586,1,3.1666,1,895.0019,341.6694,1,3.0679,1,941.1587,394.414,3.1172,
438016786014,-697.0,1002.6152,458.1608,1,3.1984,1,888.8807,299.5947,1,3.1302,1,945.7479,378.8777,3.1643,
438016790012,-693.0,1005.7711,431.9992,1,3.1845,1,883.304,351.6829,1,3.0715,1,944.5375,391.841,3.128,
438016794011,-689.0,1011.6379,452.1618,1,3.1731,1,897.3378,313.9115,1,3.1028,1,954.4879,383.0366,3.1379,
438016798008,-685.0,1015.5436,457.7057,1,3.1401,1,901.1303,340.8756,1,3.0833,1,958.3369,399.2907,3.1117,
438016802007,-681.0,997.0407,448.6878,1,3.1895,1,897.1703,309.1671,1,3.1135,1,947.1055,378.9275,3.1515,
438016806004,-677.0,1009.361,450.1411,1,3.1784,1,893.1271,326.5132,1,3.0992,1,951.2441,388.3271,3.1388,
438016810002,-673.0,1027.7949,441.1375,1,3.1799,1,894.5388,341.2974,1,3.0586,1,961.1668,391.2174,3.1193,
438016814000,-669.0,1004.1311,438.4028,1,3.1762,1,879.5387,329.5069,1,3.0565,1,941.8349,383.9549,3.1163,
438016817998,-665.0,1015.962,449.6809,1,3.1778,1,899.9874,332.8823,1,3.0855,1,957.9747,391.2816,3.1317,
438016821998,-661.0,1004.6315,440.485,1,3.1591,1,897.7573,335.785,1,3.069,1,951.1944,388.135,3.114,
438016825997,-657.0,,,0,,0,,,0,,0,,,,
438016829997,-653.0,,,0,,0,,,0,,0,,,,
438016833997,-649.0,1025.4002,456.6169,1,3.1219,1,888.8772,321.7913,1,3.1541,1,957.1387,389.2041,3.138,
438016837996,-645.0,1005.2135,418.2095,1,3.2113,1,878.2752,324.3218,1,3.096,1,941.7444,371.2657,3.1537,
438016841996,-641.0,1018.5957,432.388,1,3.1961,1,904.7884,325.3959,1,3.0642,1,961.692,378.892,3.1302,
438016845996,-637.0,1011.1362,447.5538,1,3.1417,1,908.4309,326.3572,1,3.0567,1,959.7836,386.9555,3.0992,
438016849995,-633.0,989.3412,458.4123,1,3.1562,1,896.8072,325.0816,1,3.0947,1,943.0742,391.7469,3.1254,
438016853995,-629.0,1016.9689,449.9428,1,3.1762,1,891.7616,345.1241,1,3.079,1,954.3653,397.5334,3.1276,
438016857994,-625.0,1014.4306,439.7502,1,3.1555,1,893.2645,342.8746,1,3.0821,1,953.8475,391.3124,3.1188,
438016861994,-621.0,1036.8089,431.8026,1,3.1468,1,924.7656,355.7577,1,2.9917,1,980.7872,393.7801,3.0692,
438016865994,-617.0,1056.4422,442.9195,1,3.1727,1,943.2346,333.7518,1,3.0597,1,999.8384,388.3357,3.1162,
438016869993,-613.0,1052.8948,458.7987,1,3.1241,1,947.1494,322.8156,1,3.0799,1,1000.0221,390.8072,3.102,
438016873993,-609.0,1059.634,464.7665,1,3.1877,1,952.5245,337.3265,1,3.0297,1,1006.0793,401.0465,3.1087,
438016877991,-605.0,1049.2383,462.1852,1,3.1336,1,940.5087,332.9176,1,3.0825,1,994.8735,397.5514,3.108,
438016881992,-601.0,1051.9902,471.627,1,3.1247,1,934.6259,339.7351,1,3.0889,1,993.3081,405.6811,3.1068,
438016885992,-597.0,1041.5744,450.4312,1,3.1523,1,923.3116,337.569,1,3.0619,1,982.443,394.0001,3.1071,
438016889991,-593.0,1052.3034,446.8248,1,3.1477,1,925.6001,337.5323,1,3.0599,1,988.9517,392.1785,3.1038,
438016893991,-589.0,1039.3908,447.8406,1,3.1262,1,922.6632,344.9219,1,3.0349,1,981.027,396.3813,3.0806,
438016897991,-585.0,1040.2858,451.2751,1,3.1102,1,929.0386,333.8447,1,3.0475,1,984.6622,392.5599,3.0789,
438016901990,-581.0,1043.749,465.8137,1,3.1123,1,941.3228,344.6654,1,3.0618,1,992.5359,405.2396,3.0871,
438016905990,-577.0,1052.1929,469.9121,1,3.1098,1,909.1519,345.306,1,3.0436,1,980.6724,407.609,3.0767,
438016909989,-573.0,1039.9799,455.8308,1,3.1154,1,935.3184,338.9641,1,3.0383,1,987.6491,397.3974,3.0768,
