participant_id,trial_index,trial_name,block_id,block_index,n_samples,trial_duration_sec,valid_duration_sec,left_n_valid,left_percent_valid,right_n_valid,right_percent_valid,mean_percent_valid,val_left_deg,val_right_deg,val_mean_deg,val_left_px,val_right_px,val_mean_px
MW001,0,sesameus_2,sesame,0,220,7.13,0.8,200,90.91,200,90.91,90.91,5.8668,6.1905,6.0286,18.7385,19.7726,19.2555
MW001,1,sesameindia_2,sesame,0,14918,59.66,51.71,12974,86.97,12879,86.33,86.65,5.8668,6.1905,6.0286,18.7385,19.7726,19.2555
MW001,2,sesameus_1,sesame,0,14922,59.68,52.26,13285,89.03,12846,86.09,87.56,5.8668,6.1905,6.0286,18.7385,19.7726,19.2555
MW001,3,sesameindia_1,sesame,0,14923,59.68,53.13,13425,89.96,13138,88.04,89.0,5.8668,6.1905,6.0286,18.7385,19.7726,19.2555
MW001,4,slow_people,slow,1,14917,59.65,52.0,13089,87.75,12912,86.56,87.15,0.9201,1.164,1.042,2.9389,3.7178,3.3283
MW001,5,slow_inanimate,slow,1,14921,59.67,53.83,13639,91.41,13277,88.98,90.2,0.9201,1.164,1.042,2.9389,3.7178,3.3283
MW001,6,slow_hands,slow,1,14922,59.68,52.15,13254,88.82,12820,85.91,87.37,0.9201,1.164,1.042,2.9389,3.7178,3.3283
MW001,7,slow_animals,slow,1,14924,59.68,51.89,13157,88.16,12789,85.69,86.93,0.9201,1.164,1.042,2.9389,3.7178,3.3283
MW001,8,frank_objects,frank,2,14916,59.65,53.87,13606,91.22,13331,89.37,90.3,0.9423,1.2238,1.0831,3.0098,3.9089,3.4593
MW001,9,frank_play,frank,2,14922,59.67,50.51,12974,86.95,12282,82.31,84.63,0.9423,1.2238,1.0831,3.0098,3.9089,3.4593
MW001,10,frank_complex,frank,2,14921,59.67,46.06,11764,78.84,11266,75.5,77.17,0.9423,1.2238,1.0831,3.0098,3.9089,3.4593
MW001,11,pixar_birds,pixar,3,37417,149.66,134.1,33845,90.45,33203,88.74,89.6,0.7724,1.0097,0.8911,2.4671,3.2249,2.846
MW002,0,sesameus_1,sesame,0,14921,59.67,55.59,13740,92.08,14054,94.19,93.14,0.9933,0.9836,0.9885,3.1725,3.1415,3.157
MW002,1,sesameindia_2,sesame,0,14916,59.65,55.51,13748,92.17,14005,93.89,93.03,0.9933,0.9836,0.9885,3.1725,3.1415,3.157
MW002,2,sesameus_2,sesame,0,14918,59.66,53.55,13223,88.64,13550,90.83,89.73,0.9933,0.9836,0.9885,3.1725,3.1415,3.157
MW002,3,sesameindia_1,sesame,0,14920,59.67,56.13,13971,93.64,14094,94.46,94.05,0.9933,0.9836,0.9885,3.1725,3.1415,3.157
MW002,4,slow_hands,slow,1,14916,59.65,56.08,13945,93.49,14094,94.49,93.99,2.1372,1.9112,2.0242,6.8262,6.1044,6.4653
MW002,5,slow_inanimate,slow,1,14923,59.68,54.45,13494,90.42,13730,92.01,91.21,2.1372,1.9112,2.0242,6.8262,6.1044,6.4653
MW002,6,slow_animals,slow,1,14922,59.67,54.19,13512,90.55,13585,91.04,90.8,2.1372,1.9112,2.0242,6.8262,6.1044,6.4653
