coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,0,0,"116","63","388","yes",0,0,4720,"116","face",
1,1400,0,"116","550","220","yes",1,0,5000,"117","mountain",
2,4720,0,"118","974","190","no",2,4720,10000,"118","baby face",
3,4720,0,"119","396","562","yes",3,5000,10000,"119","hands",
4,4720,0,"119","785","888","yes",4,5000,10000,"120","ball",
5,5120,0,"119","591","218","yes",5,10000,15000,"121","faces",
6,10000,0,"122","940","566","yes",6,10000,15000,"122","bed",
7,10040,0,"125","132","929","yes",7,10000,15000,"123","window",
8,10040,0,"125","276","804","yes",8,10040,15000,"125","hands",
9,10040,0,"125","309","140","yes",9,15000,20000,"126","plates",
10,10040,0,"125","1574","776","yes",10,15000,20000,"127","bouquet",
11,10360,0,"125","1514","586","yes",11,15000,20240,"124","Faces",
12,10720,0,"121","703","521","yes",12,15040,20240,"129","hands",
13,15040,0,"129","471","639","yes",13,20000,24880,"130","ice cream",
14,15040,0,"129","1310","734","yes",14,20240,24880,"128","faces",
15,20280,0,"132","1065","1039","yes",15,20280,24880,"132","hands",
16,24840,0,"133","382","835","yes",16,24840,30200,"133","balls",
17,24840,0,"133","924","865","yes",17,24880,30240,"131","faces",
18,24840,0,"133","1199","782","yes",18,24897,30200,"135","hands",
19,24880,0,"131","643","343","yes",19,30200,35862,"134","Faces",
20,24880,0,"131","1382","252","yes",20,30244,36059,"136","sift",
21,24897,0,"135","195","738","yes",21,35000,35862,"138","hands",
22,24897,0,"135","711","760","yes",22,36158,40160,"139","glass",
23,24897,0,"135","1107","715","yes",23,36158,40160,"141","hands",
24,24897,0,"135","1317","780","yes",24,36200,40160,"137","faces",
25,30201,0,"134","795","234","yes",25,40200,44000,"140","faces",
26,30201,0,"138","791","741","yes",26,40200,44000,"142","feet",
27,30201,0,"138","701","375","yes",27,44000,44000,"144","hands",
28,30201,0,"138","1034","574","yes",28,44000,47240,"145","cake",
29,30201,0,"138","1135","600","yes",29,44000,47240,"146","fruit bowl",
30,30201,0,"138","1257","823","yes",30,44000,47240,"143","faces",
31,30244,0,"136","1146","658","yes",31,44040,47240,"148","hands",
32,36143,0,"139","1264","92","yes",32,46000,50800,"149","piano",
33,36143,0,"137","816","200","yes",33,47280,50800,"147","face",
34,36143,0,"141","1255","206","yes",34,47280,50800,"151","hands",
35,36143,0,"141","1194","136","yes",35,50000,54960,"152","teacup",
36,40200,0,"142","479","224","yes",36,50840,54960,"150","faces",
37,40200,0,"142","441","198","yes",37,50840,54960,"154","hands",
38,40221,0,"144","1088","463","yes",38,55000,60320,"153","faces",
39,40221,0,"144","1088","496","yes",39,55000,60320,"155","bowl",
40,44040,0,"148","999","410","yes",,,,,,
41,44040,0,"148","799","700","yes",,,,,,
42,47280,0,"151","1188","794","yes",,,,,,
43,55000,0,"155","877","925","yes",,,,,,
