coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,3444,0,"4","1155","300","yes",0,0,1000,"0","cow face",
1,3536,0,"3","1689","193","yes",1,510,3400,"1","turkey face",
2,11390,0,"9","1490","230","yes",2,3000,8000,"3","adult face",
3,11492,0,"10","934","333","yes",3,3434,7990,"4","muppet face",
4,20298,0,"13","863","503","yes",4,3434,7990,"2","child face",
5,22372,0,"14a","902","276","yes",5,8000,11000,"5","child face",
6,27982,0,"21","1322","625","yes",6,8000,11458,"6","goat face",
7,35768,0,"25","1221","620","yes",7,8000,11458,"7","hands",
8,35768,0,"27","587","328","yes",8,11492,18768,"8","child face",
9,35768,0,"26","842","969","yes",9,11492,18768,"9","adult face",
10,38556,0,"29","680","293","yes",10,11492,18768,"10","muppet face",
11,38556,0,"28","387","837","yes",11,18802,20094,"12","bucket",
12,38658,0,"30","599","463","yes",12,18802,20298,"11","hand",
13,38658,0,"31","945","878","yes",13,18972,20298,"13","sand",
14,38658,0,"32","1553","819","yes",14,20128,20127,"15","bucket",
15,51748,0,"35","1600","394","yes",15,20128,22372,"14a","adult face",
16,58718,0,"37a","1214","192","yes",16,20128,22372,"14","child faces",
17,58718,0,"37a","760","253","yes",17,20332,24664,"16","hands",
,,,,,,,18,22406,27914,"18a","bucket",
,,,,,,,19,24000,27914,"17","chicken",
,,,,,,,20,27948,32470,"21","muppet face",
,,,,,,,21,27948,32470,"19","adult face",
,,,,,,,22,27948,32470,"20","hand",
,,,,,,,23,27982,32470,"19a","sheep face",
,,,,,,,24,32504,35666,"22","sheep face",
,,,,,,,25,32504,35666,"22a","hand",
,,,,,,,26,32504,37000,"24","hand",
,,,,,,,27,32504,37000,"23","sheep face",
,,,,,,,28,32518,27914,"18","people",
,,,,,,,29,35632,36686,"25","muppet face",
,,,,,,,30,35632,36686,"27","adult face",
,,,,,,,31,35632,36686,"26","sheep face",
,,,,,,,32,36720,38556,"29","sheep face",
,,,,,,,33,36720,38556,"28","muppet hand",
,,,,,,,34,38590,48892,"33","sheep",
,,,,,,,35,38590,48892,"30","muppet face",
,,,,,,,36,38590,48892,"31","muppet hand",
,,,,,,,37,39000,49000,"32","sheep muppet face",
,,,,,,,38,48790,51748,"34","adult face",
,,,,,,,39,48790,51748,"35","muppet face",
,,,,,,,40,51782,54977,"36","chicken faces",
,,,,,,,41,54944,58718,"37a","adult faces",
,,,,,,,42,55080,58718,"37","child faces",
,,,,,,,43,58888,60384,"38","eggs",
