coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,0,0,"87","826","253","yes",0,0,15000,"86","hands",
1,0,0,"87","762","337","yes",1,0,15000,"87","thread/needle",
2,15120,0,"88","644","626","yes",2,15000,30320,"89","sponge",
3,16240,0,"88","655","368","yes",3,15000,30320,"91","water",
4,23760,0,"91","1541","439","no",4,15000,30320,"90","plate",
5,29240,0,"90","1089","823","yes",5,15000,30320,"88","hands",
6,29440,0,"91","1081","806","no",6,30000,45720,"93","orange",
7,29640,0,"88","1009","566","yes",7,30640,45720,"92","hands",
8,31920,0,"94","297","26","yes",8,31920,45680,"94","knife",
9,35920,0,"93","1080","303","yes",9,45000,60720,"96","stamps",
10,35920,0,"94","953","434","yes",10,45720,60720,"95","hands",
11,45760,0,"96","1153","723","yes",,,,,,
12,45760,0,"96","944","265","yes",,,,,,
13,45760,0,"96","642","497","yes",,,,,,
14,45760,0,"96","969","217","yes",,,,,,
