coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,0,0,"102","675","550","yes",0,0,10234,"105","dog",
1,0,0,"103","575","796","yes",1,0,14858,"104","bike",
2,0,0,"102","1,400","626","yes",2,0,14858,"102","faces",
3,30566,0,"109","1,787","839","yes",3,0,14858,"103","hands",
4,31586,0,"111","1,853","199","yes",4,15000,30328,"108","rocks",
5,45832,0,"112","123","154","yes",5,15000,30396,"107","hands",
6,45832,0,"112","527","301","yes",6,15232,30362,"106","faces",
7,45832,0,"112","1,334","117","yes",7,30498,45000,"109","logs",
8,45832,0,"112","1,277","223","yes",8,31586,45662,"111","face",
9,46580,0,"113","1,530","512","yes",9,31926,45662,"110","hands",
10,46580,0,"113","100","426","yes",10,45000,60761,"115","bat",
11,46580,0,"113","1,209","175","yes",11,45832,60761,"112","faces",
12,49266,0,"114","1,194","236","yes",12,46580,60761,"113","hands",
13,49572,0,"114","680","863","no",13,49266,60761,"114","ball",
14,50048,0,"114","460","605","no",,,,,,
15,50048,0,"114","451","579","no",,,,,,
16,52767,0,"114","1,122","298","yes",,,,,,
17,56515,0,"114","1,136","290","yes",,,,,,
