prompt_idx,row_idx,video_block,time,video_path,start_time_s,end_time_s,annotation_raw,prompt,include_coord,exclude_coord
0,0,Sesame US 1,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,0.0,1.0,face (cow),cow face,,
1,1,Sesame US 1,0:01,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,1.0,3.0,face (turkey),turkey face,,
2,2,Sesame US 1,0:03,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,3.0,8.0,face (child),child face,,
3,2,Sesame US 1,0:03,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,3.0,8.0,face (man),man face,,
4,2,Sesame US 1,0:03,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,3.0,8.0,face (monster),monster face,,
5,3,Sesame US 1,0:08,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,8.0,11.0,face (child),child face,,
6,3,Sesame US 1,0:08,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,8.0,11.0,face (goat),goat face,,
7,3,Sesame US 1,0:08,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,8.0,11.0,hands,hands,,
8,4,Sesame US 1,0:11,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,11.0,19.0,face (child),child face,,
9,4,Sesame US 1,0:11,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,11.0,19.0,face (man),man face,,
10,4,Sesame US 1,0:11,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,11.0,19.0,face (monster),monster face,,
11,5,Sesame US 1,0:19,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,19.0,20.0,hand,hand,,
12,5,Sesame US 1,0:19,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,19.0,20.0,bucket,bucket,,
13,5,Sesame US 1,0:19,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,19.0,20.0,sand,sand,,
14,6,Sesame US 1,0:20,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,20.0,24.0,face,face,,
15,6,Sesame US 1,0:20,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,20.0,24.0,bucket,bucket,,
16,6,Sesame US 1,0:20,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,20.0,24.0,hand,hand,,
17,7,Sesame US 1,0:24,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,24.0,28.0,chicken,chicken,,
18,7,Sesame US 1,0:24,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,24.0,28.0,people,people,,
19,8,Sesame US 1,0:28,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,28.0,33.0,face,face,,
20,8,Sesame US 1,0:28,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,28.0,33.0,hand,hand,,
21,8,Sesame US 1,0:28,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,28.0,33.0,monster,monster,,
22,9,Sesame US 1,0:33,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,33.0,36.0,face (sheep),sheep face,,
23,10,Sesame US 1,0:36,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,36.0,37.0,face,face,,
24,10,Sesame US 1,0:36,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,36.0,37.0,hand,hand,,
25,10,Sesame US 1,0:36,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,36.0,37.0,monster,monster,,
26,11,Sesame US 1,0:37,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,37.0,39.0,face (sheep),sheep face,,
27,11,Sesame US 1,0:37,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,37.0,39.0,face (monster),monster face,,
28,11,Sesame US 1,0:37,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,37.0,39.0,hand (monster),monster hand,,
29,11,Sesame US 1,0:37,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,37.0,39.0,feed,feed,,
30,12,Sesame US 1,0:39,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,39.0,49.0,face (monsters),monsters face,,
