video_block,time,salient_variable,video_path,start_time_s,end_time_s
Sesame US 1,0:00,face (cow),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,0.0,1.0
Sesame US 1,0:01,face (turkey),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,1.0,3.0
Sesame US 1,0:03,"face (child), face (man), face (monster) ",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,3.0,8.0
Sesame US 1,0:08,"face (child), face (goat), hands",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,8.0,11.0
Sesame US 1,0:11,"face (child), face (man), face (monster) ",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,11.0,19.0
Sesame US 1,0:19,"hand, bucket, sand",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,19.0,20.0
Sesame US 1,0:20,"face, bucket, hand",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,20.0,24.0
Sesame US 1,0:24,"chicken, people",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,24.0,28.0
Sesame US 1,0:28,"face, hand, monster",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,28.0,33.0
Sesame US 1,0:33,face (sheep),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,33.0,36.0
Sesame US 1,0:36,"face, hand, monster",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,36.0,37.0
Sesame US 1,0:37,"face (sheep), face (monster), hand (monster), feed",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,37.0,39.0
Sesame US 1,0:39,"face (monsters), hand (monster), feed, sheep",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,39.0,49.0
Sesame US 1,0:49,"face, face (monster)",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,49.0,52.0
Sesame US 1,0:52,face (chickens) ,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,52.0,55.0
Sesame US 1,0:55,faces (kids),/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,55.0,60.0
Sesame US 1,1:00,eggs,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,60.0,60.5605
Sesame US 2,0:00,"face, face (monster) ",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,0.0,4.0
