video_block,video_path,prompt_idx,prompt_name,start_time_ms,end_time_ms,start_time_s,end_time_s,faces_and_hands,include_coords,exclude_coords
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,296,small bird face,630,2940,0.63,2.94,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,297,small bird feet,630,3780,0.63,3.78,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,298,small birds faces,3024,26838,3.024,26.838,True,"[[596, 418], [1239, 186], [297, 394], [1253, 321], [1257, 82], [21, 453], [1250, 516], [53, 451], [15, 476], [1270, 504], [13, 496]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,302,small bird wings,3108,10000,3.108,10.0,False,"[[1206, 312]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,299,small birds feet,3906,7000,3.906,7.0,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,300,tail,4158,7000,4.158,7.0,False,"[[577, 394]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,304,small bird wings,6888,8736,6.888,8.736,False,"[[480, 480], [298, 476]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,307,big bird wing,26000,29000,26.0,29.0,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,305,wire,26880,26838,26.88,26.838,False,"[[471, 648], [852, 621]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,306,big bird face,26880,28602,26.88,28.602,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,303,small birds faces,28644,26000,28.644,26.0,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,301,small birds faces,28644,30912,28.644,30.912,True,"[[598, 354], [439, 355], [733, 341]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,309,big bird face,30954,33306,30.954,33.306,True,"[[537, 218]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,310,big bird wing,30954,33306,30.954,33.306,False,"[[803, 548]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,308,small birds faces,33348,37002,33.348,37.002,True,"[[253, 399], [882, 361]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,311,small birds faces,37044,43680,37.044,43.68,True,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,312,big bird face,43722,45780,43.722,45.78,True,"[[552, 180]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,315,wire,48636,50274,48.636,50.274,False,[],[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,314,big bird,48636,50274,48.636,50.274,False,"[[128, 227]]",[]
Pixar Birds,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/pixar_birds_stripped.mp4,313,small birds,48636,50274,48.636,50.274,False,"[[637, 293], [597, 286], [562, 288], [528, 286], [495, 284], [477, 287], [443, 284], [423, 284], [401, 288], [378, 283], [361, 282], [338, 287], [324, 287], [304, 285], [291, 285]]",[]
