participant_id,trial_index,trial_name,block_id,block_index,n_samples,trial_duration_sec,valid_duration_sec,left_n_valid,left_percent_valid,right_n_valid,right_percent_valid,mean_percent_valid,val_left_deg,val_right_deg,val_mean_deg,val_left_px,val_right_px,val_mean_px
MW000,0,sesameus_2,sesame,0,14917,59.66,58.1,14359,96.26,14691,98.48,97.37,0.7872,0.7075,0.7473,2.5143,2.2597,2.387
MW000,1,sesameindia_1,sesame,0,14920,59.67,54.29,13572,90.97,13574,90.98,90.97,0.7872,0.7075,0.7473,2.5143,2.2597,2.387
MW000,2,sesameus_1,sesame,0,14916,59.65,51.78,12960,86.89,12931,86.69,86.79,0.7872,0.7075,0.7473,2.5143,2.2597,2.387
MW000,3,sesameindia_2,sesame,0,14925,59.68,57.01,14357,96.19,14149,94.8,95.5,0.7872,0.7075,0.7473,2.5143,2.2597,2.387
MW000,4,slow_hands,slow,1,14921,59.67,50.53,12593,84.4,12670,84.91,84.66,0.718,0.8711,0.7945,2.2933,2.7822,2.5377
MW000,5,slow_inanimate,slow,1,14921,59.67,58.12,14535,97.41,14525,97.35,97.38,0.718,0.8711,0.7945,2.2933,2.7822,2.5377
MW000,6,slow_people,slow,1,14918,59.66,53.44,13760,92.24,12961,86.88,89.56,0.718,0.8711,0.7945,2.2933,2.7822,2.5377
MW000,7,slow_animals,slow,1,14923,59.68,58.84,14718,98.63,14700,98.51,98.57,0.718,0.8711,0.7945,2.2933,2.7822,2.5377
MW000,8,frank_play,frank,2,14922,59.68,55.44,13922,93.3,13796,92.45,92.88,0.9117,0.7396,0.8256,2.9121,2.3623,2.6372
MW000,9,frank_objects,frank,2,14916,59.65,59.15,14771,99.03,14804,99.25,99.14,0.9117,0.7396,0.8256,2.9121,2.3623,2.6372
MW000,10,frank_complex,frank,2,14919,59.67,53.26,13776,92.34,12852,86.15,89.24,0.9117,0.7396,0.8256,2.9121,2.3623,2.6372
MW000,11,pixar_birds,pixar,3,37420,149.67,147.14,36662,97.97,36907,98.63,98.3,0.9214,1.0234,0.9724,2.9428,3.2687,3.1058
MW001,0,sesameus_2,sesame,0,220,7.13,0.8,200,90.91,200,90.91,90.91,5.8668,6.1905,6.0286,18.7385,19.7726,19.2555
MW001,1,sesameindia_2,sesame,0,14918,59.66,51.71,12974,86.97,12879,86.33,86.65,5.8668,6.1905,6.0286,18.7385,19.7726,19.2555
MW001,2,sesameus_1,sesame,0,14922,59.68,52.26,13285,89.03,12846,86.09,87.56,5.8668,6.1905,6.0286,18.7385,19.7726,19.2555
MW001,3,sesameindia_1,sesame,0,14923,59.68,53.13,13425,89.96,13138,88.04,89.0,5.8668,6.1905,6.0286,18.7385,19.7726,19.2555
MW001,4,slow_people,slow,1,14917,59.65,52.0,13089,87.75,12912,86.56,87.15,0.9201,1.164,1.042,2.9389,3.7178,3.3283
MW001,5,slow_inanimate,slow,1,14921,59.67,53.83,13639,91.41,13277,88.98,90.2,0.9201,1.164,1.042,2.9389,3.7178,3.3283
MW001,6,slow_hands,slow,1,14922,59.68,52.15,13254,88.82,12820,85.91,87.37,0.9201,1.164,1.042,2.9389,3.7178,3.3283
MW001,7,slow_animals,slow,1,14924,59.68,51.89,13157,88.16,12789,85.69,86.93,0.9201,1.164,1.042,2.9389,3.7178,3.3283
MW001,8,frank_objects,frank,2,14916,59.65,53.87,13606,91.22,13331,89.37,90.3,0.9423,1.2238,1.0831,3.0098,3.9089,3.4593
MW001,9,frank_play,frank,2,14922,59.67,50.51,12974,86.95,12282,82.31,84.63,0.9423,1.2238,1.0831,3.0098,3.9089,3.4593
MW001,10,frank_complex,frank,2,14921,59.67,46.06,11764,78.84,11266,75.5,77.17,0.9423,1.2238,1.0831,3.0098,3.9089,3.4593
MW001,11,pixar_birds,pixar,3,37417,149.66,134.1,33845,90.45,33203,88.74,89.6,0.7724,1.0097,0.8911,2.4671,3.2249,2.846
MW002,0,sesameus_1,sesame,0,14921,59.67,55.59,13740,92.08,14054,94.19,93.14,0.9933,0.9836,0.9885,3.1725,3.1415,3.157
MW002,1,sesameindia_2,sesame,0,14916,59.65,55.51,13748,92.17,14005,93.89,93.03,0.9933,0.9836,0.9885,3.1725,3.1415,3.157
MW002,2,sesameus_2,sesame,0,14918,59.66,53.55,13223,88.64,13550,90.83,89.73,0.9933,0.9836,0.9885,3.1725,3.1415,3.157
MW002,3,sesameindia_1,sesame,0,14920,59.67,56.13,13971,93.64,14094,94.46,94.05,0.9933,0.9836,0.9885,3.1725,3.1415,3.157
MW002,4,slow_hands,slow,1,14916,59.65,56.08,13945,93.49,14094,94.49,93.99,2.1372,1.9112,2.0242,6.8262,6.1044,6.4653
MW002,5,slow_inanimate,slow,1,14923,59.68,54.45,13494,90.42,13730,92.01,91.21,2.1372,1.9112,2.0242,6.8262,6.1044,6.4653
MW002,6,slow_animals,slow,1,14922,59.67,54.19,13512,90.55,13585,91.04,90.8,2.1372,1.9112,2.0242,6.8262,6.1044,6.4653
MW002,7,slow_people,slow,1,14919,59.66,55.22,13892,93.12,13717,91.94,92.53,2.1372,1.9112,2.0242,6.8262,6.1044,6.4653
MW002,8,frank_complex,frank,2,14918,59.66,51.59,12775,85.63,13022,87.29,86.46,1.0335,1.0034,1.0185,3.3009,3.205,3.253
MW002,9,frank_objects,frank,2,14923,59.68,54.97,13585,91.03,13898,93.13,92.08,1.0335,1.0034,1.0185,3.3009,3.205,3.253
MW002,10,frank_play,frank,2,14919,59.66,52.04,13245,88.78,12773,85.62,87.2,1.0335,1.0034,1.0185,3.3009,3.205,3.253
MW002,11,pixar_birds,pixar,3,37418,149.66,133.36,32625,87.19,34056,91.02,89.1,1.6947,1.7778,1.7363,5.4129,5.6784,5.5457
MW003,0,slow_animals,slow,0,14921,59.67,56.01,13962,93.57,14045,94.13,93.85,1.2716,1.1138,1.1927,4.0616,3.5576,3.8096
MW003,1,slow_hands,slow,0,14924,59.69,55.58,13839,92.73,13953,93.49,93.11,1.2716,1.1138,1.1927,4.0616,3.5576,3.8096
MW003,2,slow_people,slow,0,14918,59.66,55.02,13663,91.59,13846,92.81,92.2,1.2716,1.1138,1.1927,4.0616,3.5576,3.8096
MW003,3,slow_inanimate,slow,0,14923,59.68,56.38,14079,94.34,14109,94.55,94.44,1.2716,1.1138,1.1927,4.0616,3.5576,3.8096
MW003,4,frank_objects,frank,1,14924,59.68,55.51,13882,93.02,13873,92.96,92.99,1.5091,1.4303,1.4697,4.82,4.5684,4.6942
MW003,5,frank_play,frank,1,14921,59.67,57.4,14319,95.97,14382,96.39,96.18,1.5091,1.4303,1.4697,4.82,4.5684,4.6942
MW003,6,frank_complex,frank,1,14922,59.68,56.09,14017,93.94,14030,94.02,93.98,1.5091,1.4303,1.4697,4.82,4.5684,4.6942
MW003,7,sesameus_2,sesame,2,14919,59.67,57.89,14457,96.9,14488,97.11,97.01,1.1317,1.2445,1.1881,3.6145,3.975,3.7948
MW003,8,sesameindia_2,sesame,2,14923,59.68,55.31,13757,92.19,13897,93.12,92.66,1.1317,1.2445,1.1881,3.6145,3.975,3.7948
MW003,9,sesameindia_1,sesame,2,14923,59.68,54.77,13618,91.26,13767,92.25,91.75,1.1317,1.2445,1.1881,3.6145,3.975,3.7948
MW003,10,sesameus_1,sesame,2,14916,59.66,55.51,13892,93.13,13861,92.93,93.03,1.1317,1.2445,1.1881,3.6145,3.975,3.7948
MW003,11,pixar_birds,pixar,3,37421,149.67,138.54,34540,92.3,34732,92.81,92.56,0.7953,1.2281,1.0117,2.5401,3.9224,3.2313
MW004,0,frank_objects,frank,0,14920,59.67,31.92,9974,66.85,5984,40.11,53.48,11.0499,13.331,12.1904,35.2935,42.5793,38.9364
MW004,1,frank_complex,frank,0,14922,59.68,32.46,10684,71.6,5546,37.17,54.38,11.0499,13.331,12.1904,35.2935,42.5793,38.9364
MW004,2,frank_play,frank,0,14921,59.67,36.18,10732,71.93,7360,49.33,60.63,11.0499,13.331,12.1904,35.2935,42.5793,38.9364
MW004,3,slow_animals,slow,1,14922,59.68,28.73,10364,69.45,4001,26.81,48.13,2.4107,7.8086,5.1097,7.6998,24.9408,16.3203
MW004,4,slow_hands,slow,1,14918,59.66,39.68,11687,78.34,8152,54.65,66.49,2.4107,7.8086,5.1097,7.6998,24.9408,16.3203
MW004,5,slow_inanimate,slow,1,14918,59.66,31.62,9675,64.85,6135,41.12,52.99,2.4107,7.8086,5.1097,7.6998,24.9408,16.3203
MW004,6,slow_people,slow,1,14917,59.65,34.47,10569,70.85,6665,44.68,57.77,2.4107,7.8086,5.1097,7.6998,24.9408,16.3203
MW004,7,sesameindia_2,sesame,2,14924,59.68,31.55,11039,73.97,4734,31.72,52.84,3.5218,5.2593,4.3905,11.2486,16.7981,14.0234
MW004,8,sesameus_2,sesame,2,14923,59.68,29.88,8474,56.78,6467,43.34,50.06,3.5218,5.2593,4.3905,11.2486,16.7981,14.0234
MW004,9,sesameindia_1,sesame,2,14917,59.65,34.26,11354,76.11,5776,38.72,57.42,3.5218,5.2593,4.3905,11.2486,16.7981,14.0234
MW004,10,sesameus_1,sesame,2,14918,59.66,35.03,10438,69.97,7076,47.43,58.7,3.5218,5.2593,4.3905,11.2486,16.7981,14.0234
