"","participant_id","n_trials","mean_validity","min_validity","mean_calibration_deg","max_calibration_deg"
"1","HMET004",10,28.7,0.5,3.72,13.97
"2","HMET005",11,57.9,33.8,7.5,12.7
"3","HMET007",7,14.5,1.6,NA,NA
"4","MW001",12,87.3,77.2,2.7,6.03
"5","MW002",12,91.1,86.5,1.4,2.02
"6","MW003",12,93.6,91.8,1.25,1.47
"7","MW004",12,55.4,48.1,6.67,12.19
"8","MW005",12,96.7,94.8,1.5,2.18
"9","MW006",12,97.8,96.9,1.47,1.66
"10","MW008",12,51.5,11.6,1.34,5.92
"11","MW009",12,62.4,26.4,4.71,12.52
"12","MW010",12,84,79.4,1.14,1.35
"13","MW011",12,95,94.2,1.36,1.53
"14","MW012",12,90.5,87.8,1.66,1.98
"15","MW013",12,90.3,83.6,7,17.44
"16","MW014",12,82.1,64.3,2.03,2.56
"17","MW015",12,96.3,94.7,1.42,1.54
"18","MW016",12,95.8,94.5,1.22,1.3
"19","MW017",12,93.5,91,1.41,1.86
"20","MW018",12,96.7,95.6,1.07,1.24
"21","MW019",12,78.3,60.9,1.51,1.75
"22","MW020",12,88,81.1,1.71,3.39
"23","MW021",12,79.9,60.1,1.84,2.86
"24","MW022",12,98.8,97.4,3.94,6.28
"25","MW024",12,91.9,89.2,1.29,1.83
"26","MW025",12,98.1,96.3,1.15,1.39
"27","MW026",12,92.2,88.9,3.51,6.19
"28","MW027",12,91.9,89.3,1.96,2.71
"29","MW028",12,96.5,94.8,1.31,1.43
"30","MW029",12,94.8,89.5,1.46,1.8
"31","MW030",12,94.1,88.3,1.14,1.5
"32","MW031",12,69.7,53.4,2.68,3.02
"33","MW032",12,92,89.1,1.21,1.84
"34","MW033",12,89.6,83.1,2.25,3.5
"35","MW034",12,97.3,94.7,6.33,11.41
"36","MW036",12,92.7,87.3,1.03,1.35
"37","MW037",12,92,87.2,1.3,1.71
"38","MW038",12,90.5,88.8,0.84,1.02
"39","MW039",12,87.9,81.1,11.53,18.27
"40","MW040",12,93.5,91.6,1.21,1.33
"41","MW041",12,98,97.1,1.25,1.59
"42","MW042",12,98.6,97.4,1.24,1.63
"43","MW043",12,95.2,93.2,1.24,1.38
"44","MW044",12,94.2,87.8,1.5,2.32
"45","MW045",12,96.5,93.1,3.34,6.48
"46","MW046",12,96.1,92.4,0.9,1.07
"47","MW047",12,99,98.1,1.07,1.28
"48","MW048",12,96.7,92.7,0.81,1.12
"49","MW049",12,97.3,96.1,1.4,1.57
"50","MW050",12,96.4,94.1,4.63,4.77
"51","MW051",12,93.5,90.8,1.13,1.27
"52","MWK004",12,66.2,0,1.61,1.8
"53","MWK005",12,28,1.1,11.1,31.49
"54","MWK006",12,92.6,72.2,5.36,7.69
"55","MWK01",12,69.4,0,NA,NA
"56","MWK02",12,91.9,69.4,0.99,1.3
"57","MWK03",12,85.5,69.1,2.52,3.31
